Unnamed: 0,Solvent,Solute,COSMO_RS,UNIFAC,mod_UNIFAC_Ly,mod_UNIFAC_Do,Abraham,HSP,Hildebrand,MOSCED,Literature,Ref,Solvent_SMILES,Solute_SMILES,key_ID,Ensemble_1,Ensemble_2,Ensemble_3,Ensemble_4,Ensemble_5,Ensemble_6,Ensemble_7,Ensemble_8,Ensemble_9,Ensemble_10,Ensemble_11,Ensemble_12,Ensemble_13,Ensemble_14,Ensemble_15,Ensemble_16,Ensemble_17,Ensemble_18,Ensemble_19,Ensemble_20,Ensemble_21,Ensemble_22,Ensemble_23,Ensemble_24,Ensemble_25,Ensemble_26,Ensemble_27,Ensemble_28,Ensemble_29,Ensemble_30
2446,propylene carbonate,n-Octane,4.418599615,,,,4.46383701,4.07022262,4.616406818,,4.600057137,[54] ,CC1COC(=O)O1,CCCCCCCC,CC1COC(=O)O1 CCCCCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,propylene carbonate,"2,3,4-trimethylpentane",3.954124181,,,,4.064915752,,,,4.164336934,[54] ,CC1COC(=O)O1,CC(C)C(C)C(C)C,CC1COC(=O)O1 CC(C)C(C)C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448,propylene carbonate,"2,5-dimethylhexane",4.214347355,,,,,,,,4.418840608,[54] ,CC1COC(=O)O1,CC(C)CCC(C)C,CC1COC(=O)O1 CC(C)CCC(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,propylene carbonate,ethylcyclohexane,3.819249605,,,,,,,,3.988798844,[54] ,CC1COC(=O)O1,CCC1CCCCC1,CC1COC(=O)O1 CCC1CCCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,propylene carbonate,n-Nonane,4.848900371,,,,4.957867229,4.415582293,4.467860235,,5.017147378,[54] ,CC1COC(=O)O1,CCCCCCCCC,CC1COC(=O)O1 CCCCCCCCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,propylene carbonate,2-methyl-2-butene,2.227861547,,,,,2.339880878,4.996603981,,2.610069793,[47] ,CC1COC(=O)O1,CC=C(C)C,CC1COC(=O)O1 CC=C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,propylene carbonate,"2-methyl-1,3-butadiene",1.413423029,,,,2.145931283,,,,1.85629799,[47] ,CC1COC(=O)O1,CC(=C)C=C,CC1COC(=O)O1 CC(=C)C=C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,propylene glycol,Toluene,2.32238772,2.259677592,1.633154439,2.726544784,,3.250374492,1.609437912,,3.269568939,[191] ,CC(CO)O,Cc1ccccc1,CC(CO)O Cc1ccccc1,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
2454,p-xylene,n-Pentane,0.385262401,0.292669614,0.165514438,0.470003629,0.39877612,0.131028262,0.364643114,0.405465108,0.362058873,"['[54] ', '[61] ', '[61] ']",Cc1ccc(C)cc1,CCCCC,Cc1ccc(C)cc1 CCCCC,Train,Valid,Train,Train,Valid,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
2455,p-xylene,n-Hexane,0.425267735,0.336472237,0.198850859,0.418710335,0.431782416,0.139761942,0.270027137,0.405465108,0.389269669,"['[54] ', '[61] ', '[61] ']",Cc1ccc(C)cc1,CCCCCC,Cc1ccc(C)cc1 CCCCCC,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train,Valid,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Train
